Cycle: 15  AE.A244  1.562_X	Cycle: 15  AE.A244  1.562_Y	Cycle: 16  AE.A244  3.125_X	Cycle: 16  AE.A244  3.125_Y	Cycle: 17  AE.A244  6.25 _X	Cycle: 17  AE.A244  6.25 _Y	Cycle: 18  AE.A244  12.5 _X	Cycle: 18  AE.A244  12.5 _Y	Cycle: 19  AE.A244  25 µg_X	Cycle: 19  AE.A244  25 µg_Y	Cycle: 20  AE.A244  50 µg_X	Cycle: 20  AE.A244  50 µg_Y	Cycle: 21  AE.A244  100 µ_X	Cycle: 21  AE.A244  100 µ_Y	Cycle: 22  AE.A244  200 µ_X	Cycle: 22  AE.A244  200 µ_Y
-51.66	-0.047699	-51.56	-0.14264	-51.56	-0.127228	-51.56	-0.096558	-51.66	4.88281e-4	-51.66	-0.28949	-51.56	-0.286835	-51.56	-0.179718
-51.56	-0.0500488	-51.46	-0.133636	-51.46	-0.127625	-51.46	-0.0903015	-51.56	-2.22778e-3	-51.56	-0.272675	-51.46	-0.274719	-51.46	-0.16095
-51.46	-0.0441589	-51.36	-0.133637	-51.36	-0.142456	-51.36	-0.11142	-51.46	1.2207e-4	-51.46	-0.258605	-51.36	-0.252075	-51.36	-0.126221
-51.36	-0.0457458	-51.26	-0.130524	-51.26	-0.145966	-51.26	-0.120758	-51.36	3.23486e-3	-51.36	-0.244171	-51.26	-0.215332	-51.26	-0.104309
-51.26	-0.0379305	-51.16	-0.13559	-51.16	-0.142822	-51.16	-0.105133	-51.26	0.0110474	-51.26	-0.218381	-51.16	-0.167297	-51.16	-0.0855713
-51.16	-0.0343933	-51.06	-0.138702	-51.06	-0.168639	-51.06	-0.114532	-51.16	0.0290527	-51.16	-0.171082	-51.06	-0.160644	-51.06	-0.0855706
-51.06	-0.0488586	-50.96	-0.144989	-50.96	-0.160828	-50.96	-0.116486	-51.06	0.0196533	-51.06	-0.137512	-50.96	-0.138	-50.96	-0.0758057
-50.96	-0.0574646	-50.86	-0.125032	-50.86	-0.13855	-50.86	-0.103975	-50.96	0.0325317	-50.96	-0.110167	-50.86	-0.103638	-50.86	-0.0679951
-50.86	-0.0449524	-50.76	-0.120758	-50.76	-0.129944	-50.76	-0.111786	-50.86	0.0548096	-50.86	-0.0875244	-50.76	-0.098938	-50.76	-0.0726929
-50.76	-0.0379333	-50.66	-0.121124	-50.66	-0.139343	-50.66	-0.108673	-50.76	0.0567627	-50.76	-0.0761719	-50.66	-0.0872192	-50.66	-0.0679932
-50.66	-0.0351868	-50.56	-0.127775	-50.56	-0.151426	-50.56	-0.130522	-50.66	0.0618286	-50.66	-0.0691528	-50.56	-0.0989362	-50.56	-0.0750104
-50.56	-0.0304871	-50.46	-0.127777	-50.46	-0.160797	-50.46	-0.139893	-50.56	0.0430908	-50.56	-0.0808716	-50.46	-0.107117	-50.46	-0.0679932
-50.46	-0.0351868	-50.36	-0.123078	-50.36	-0.170959	-50.36	-0.143402	-50.46	0.0497437	-50.46	-0.0984494	-50.36	-0.109863	-50.36	-0.0808719
-50.36	-0.0304871	-50.26	-0.116058	-50.26	-0.190125	-50.26	-0.132904	-50.36	0.039978	-50.36	-0.125	-50.26	-0.0966187	-50.26	-0.0922241
-50.26	-0.0203575	-50.16	-0.130524	-50.16	-0.214722	-50.16	-0.144989	-50.26	0.052063	-50.26	-0.124636	-50.16	-0.114563	-50.16	-0.107056
-50.16	-0.0382996	-50.06	-0.137543	-50.06	-0.221375	-50.06	-0.138336	-50.16	0.0341187	-50.16	-0.139465	-50.06	-0.11261	-50.06	-0.110168
-50.06	-0.0429993	-49.96	-0.13089	-49.96	-0.223694	-49.96	-0.138336	-50.06	0.0247192	-50.06	-0.132813	-49.96	-0.134094	-49.96	-0.124634
-49.96	-0.0363464	-49.86	-0.130524	-49.86	-0.223328	-49.86	-0.134857	-49.96	0.0223999	-49.96	-0.135559	-49.86	-0.14386	-49.86	-0.124634
-49.86	-0.0359802	-49.76	-0.111359	-49.76	-0.202209	-49.76	-0.123871	-49.86	0.0149536	-49.86	-0.140259	-49.76	-0.14386	-49.76	-0.129303
-49.76	-0.0168159	-49.66	-0.116058	-49.66	-0.197144	-49.66	-0.123505	-49.76	0.0126343	-49.76	-0.157044	-49.66	-0.136047	-49.66	-0.133606
-49.66	-0.0262146	-49.56	-0.110992	-49.56	-0.201843	-49.56	-0.106719	-49.66	0.0130005	-49.66	-0.171875	-49.56	-0.140746	-49.56	-0.131286
-49.56	-0.0281677	-49.46	-0.13089	-49.46	-0.208862	-49.46	-0.123505	-49.56	7.93457e-3	-49.56	-0.189087	-49.46	-0.155579	-49.46	-0.141052
-49.46	-0.0449524	-49.36	-0.13559	-49.36	-0.189331	-49.36	-0.113739	-49.46	-0.0135498	-49.46	-0.22229	-49.36	-0.147766	-49.36	-0.131653
-49.36	-0.0398865	-49.26	-0.125824	-49.26	-0.174866	-49.26	-0.103973	-49.36	-3.78418e-3	-49.36	-0.241821	-49.26	-0.133301	-49.26	-0.1297
-49.26	-0.0422062	-49.16	-0.125824	-49.16	-0.170959	-49.16	-0.103973	-49.26	5.98145e-3	-49.26	-0.25586	-49.16	-0.14386	-49.16	-0.144165
-49.16	-0.0480652	-49.06	-0.122712	-49.06	-0.158082	-49.06	-0.0992749	-49.16	-3.78418e-3	-49.16	-0.251953	-49.06	-0.138002	-49.06	-0.126588
-49.06	-0.0449524	-48.96	-0.118011	-48.96	-0.139343	-48.96	-0.082489	-49.06	4.02832e-3	-49.06	-0.25354	-48.96	-0.114563	-48.96	-0.105103
-48.96	-0.023468	-48.86	-0.111359	-48.86	-0.149475	-48.86	-0.0774231	-48.96	0.0126343	-48.96	-0.239075	-48.86	-0.102844	-48.86	-0.105103
-48.86	-0.023468	-48.76	-0.10318	-48.76	-0.144409	-48.76	-0.0746765	-48.86	0.0177002	-48.86	-0.232422	-48.76	-0.104797	-48.76	-0.0953369
-48.76	-0.0281687	-48.66	-0.0953674	-48.66	-0.141296	-48.66	-0.0715637	-48.76	0.020813	-48.76	-0.241822	-48.66	-0.11145	-48.66	-0.106689
-48.66	-0.0351868	-48.56	-0.0937812	-48.56	-0.136597	-48.56	-0.0699775	-48.66	0.0188599	-48.66	-0.255493	-48.56	-0.111451	-48.56	-0.102357
-48.56	-0.0351868	-48.46	-0.108246	-48.46	-0.136597	-48.46	-0.0844421	-48.56	0.0235596	-48.56	-0.244141	-48.46	-0.131348	-48.46	-0.111755
-48.46	-0.0351868	-48.36	-0.101227	-48.36	-0.136597	-48.36	-0.0746765	-48.46	0.0106812	-48.46	-0.25354	-48.36	-0.130981	-48.36	-0.118774
-48.36	-0.0351868	-48.26	-0.118011	-48.26	-0.141296	-48.26	-0.0727234	-48.36	5.98145e-3	-48.36	-0.253906	-48.26	-0.157532	-48.26	-0.116821
-48.26	-0.0351883	-48.16	-0.118011	-48.16	-0.158081	-48.16	-0.082489	-48.26	5.98145e-3	-48.26	-0.273073	-48.16	-0.157532	-48.16	-0.1297
-48.16	-0.0449524	-48.06	-0.121124	-48.06	-0.151428	-48.06	-0.0758357	-48.16	-8.48389e-3	-48.16	-0.28009	-48.06	-0.160644	-48.06	-0.132446
-48.06	-0.0527649	-47.96	-0.116058	-47.96	-0.156128	-47.96	-0.0805359	-48.06	-0.0186157	-48.06	-0.291016	-47.96	-0.165344	-47.96	-0.144165
-47.96	-0.0527649	-47.86	-0.125822	-47.86	-0.165894	-47.86	-0.0852341	-47.96	-0.0166626	-47.96	-0.295717	-47.86	-0.17511	-47.86	-0.168395
-47.86	-0.0625305	-47.76	-0.125824	-47.76	-0.156128	-47.76	-0.0922546	-47.86	-0.0358276	-47.86	-0.305481	-47.76	-0.17511	-47.76	-0.165649
-47.76	-0.0527649	-47.66	-0.116058	-47.66	-0.156128	-47.66	-0.082489	-47.76	-0.0428467	-47.76	-0.295715	-47.66	-0.165344	-47.66	-0.165649
-47.66	-0.0527649	-47.56	-0.112946	-47.56	-0.146363	-47.56	-0.0793767	-47.66	-0.0311279	-47.66	-0.282837	-47.56	-0.171998	-47.56	-0.162537
-47.56	-0.0496521	-47.46	-0.111359	-47.46	-0.146362	-47.46	-0.0696106	-47.56	-0.0327148	-47.56	-0.270325	-47.46	-0.167297	-47.46	-0.157837
-47.46	-0.0449524	-47.36	-0.119171	-47.36	-0.154175	-47.36	-0.0828547	-47.46	-0.038147	-47.46	-0.244141	-47.36	-0.17041	-47.36	-0.160949
-47.36	-0.051178	-47.26	-0.114105	-47.26	-0.154175	-47.26	-0.0727234	-47.36	-0.0361938	-47.36	-0.230469	-47.26	-0.165344	-47.26	-0.165649
-47.26	-0.0605774	-47.16	-0.114105	-47.16	-0.154175	-47.16	-0.0727234	-47.26	-0.0311279	-47.26	-0.225403	-47.16	-0.165344	-47.16	-0.165649
-47.16	-0.0555115	-47.06	-0.110991	-47.06	-0.151061	-47.06	-0.0743093	-47.16	-0.0291748	-47.16	-0.225403	-47.06	-0.167296	-47.06	-0.157836
-47.06	-0.0691833	-46.96	-0.106293	-46.96	-0.136597	-46.96	-0.0766296	-47.06	-0.0475464	-47.06	-0.232056	-46.96	-0.155579	-46.96	-0.146118
-46.96	-0.0644836	-46.86	-0.108245	-46.86	-0.143616	-46.86	-0.0750417	-46.96	-0.0330811	-46.96	-0.227357	-46.86	-0.162598	-46.86	-0.153136
-46.86	-0.0812683	-46.76	-0.108246	-46.76	-0.126831	-46.76	-0.0629578	-46.86	-0.0350342	-46.86	-0.234375	-46.76	-0.162231	-46.76	-0.141418
-46.76	-0.0597854	-46.66	-0.108246	-46.66	-0.129944	-46.66	-0.0727234	-46.76	-0.0252686	-46.76	-0.222292	-46.66	-0.157532	-46.66	-0.139099
-46.66	-0.0625305	-46.56	-0.108244	-46.56	-0.149107	-46.56	-0.0774216	-46.66	-0.038147	-46.66	-0.239075	-46.56	-0.167296	-46.56	-0.155882
